Question,Answer
Q1: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q2: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q3: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q4: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q5: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q6: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q7: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q8: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q9: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q10: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q11: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q12: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q13: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q14: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q15: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q16: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q17: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q18: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q19: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q20: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q21: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q22: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q23: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q24: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q25: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q26: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q27: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q28: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q29: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q30: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q31: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q32: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q33: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q34: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q35: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q36: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
